Eph bin centers    value    Error 
 3.396700e+04   0.000000e+00   0.000000e+00
 3.416500e+04   0.000000e+00   0.000000e+00
 3.436300e+04   0.000000e+00   0.000000e+00
 3.456100e+04   0.000000e+00   0.000000e+00
 3.475900e+04   0.000000e+00   0.000000e+00
 3.495700e+04   0.000000e+00   0.000000e+00
 3.515500e+04   0.000000e+00   0.000000e+00
 3.535300e+04   0.000000e+00   0.000000e+00
 3.555100e+04   0.000000e+00   0.000000e+00
 3.574900e+04   0.000000e+00   0.000000e+00
 3.594700e+04   0.000000e+00   0.000000e+00
 3.614500e+04   0.000000e+00   0.000000e+00
 3.634300e+04   0.000000e+00   0.000000e+00
 3.654100e+04   0.000000e+00   0.000000e+00
 3.673900e+04   0.000000e+00   0.000000e+00
 3.693700e+04   0.000000e+00   0.000000e+00
 3.713500e+04   0.000000e+00   0.000000e+00
 3.733300e+04   0.000000e+00   0.000000e+00
 3.753100e+04   0.000000e+00   0.000000e+00
 3.772900e+04   0.000000e+00   0.000000e+00
 3.792700e+04   0.000000e+00   0.000000e+00
 3.812500e+04   0.000000e+00   0.000000e+00
 3.832300e+04   0.000000e+00   0.000000e+00
 3.852100e+04   0.000000e+00   0.000000e+00
 3.871900e+04   0.000000e+00   0.000000e+00
 3.891700e+04   0.000000e+00   0.000000e+00
 3.911500e+04   0.000000e+00   0.000000e+00
 3.931300e+04   0.000000e+00   0.000000e+00
 3.951100e+04   0.000000e+00   0.000000e+00
 3.970900e+04   0.000000e+00   0.000000e+00
 3.990700e+04   0.000000e+00   0.000000e+00
 4.010500e+04   0.000000e+00   0.000000e+00
 4.030300e+04   0.000000e+00   0.000000e+00
 4.050100e+04   0.000000e+00   0.000000e+00
 4.069900e+04   0.000000e+00   0.000000e+00
 4.089700e+04   0.000000e+00   0.000000e+00
 4.109500e+04   0.000000e+00   0.000000e+00
 4.129300e+04   0.000000e+00   0.000000e+00
 4.149100e+04   0.000000e+00   0.000000e+00
 4.168900e+04   0.000000e+00   0.000000e+00
 4.188700e+04   0.000000e+00   0.000000e+00
 4.208500e+04   0.000000e+00   0.000000e+00
 4.228300e+04   0.000000e+00   0.000000e+00
 4.248100e+04   0.000000e+00   0.000000e+00
 4.267900e+04   0.000000e+00   0.000000e+00
 4.287700e+04   0.000000e+00   0.000000e+00
 4.307500e+04   0.000000e+00   0.000000e+00
 4.327300e+04   0.000000e+00   0.000000e+00
 4.347100e+04   0.000000e+00   0.000000e+00
 4.366900e+04   0.000000e+00   0.000000e+00
 4.386700e+04   0.000000e+00   0.000000e+00
 4.406500e+04   0.000000e+00   0.000000e+00
 4.426300e+04   0.000000e+00   0.000000e+00
 4.446100e+04   0.000000e+00   0.000000e+00
 4.465900e+04   0.000000e+00   0.000000e+00
 4.485700e+04   0.000000e+00   0.000000e+00
 4.505500e+04   0.000000e+00   0.000000e+00
 4.525300e+04   0.000000e+00   0.000000e+00
 4.545100e+04   0.000000e+00   0.000000e+00
 4.564900e+04   0.000000e+00   0.000000e+00
 4.584700e+04   0.000000e+00   0.000000e+00
 4.604500e+04   0.000000e+00   0.000000e+00
 4.624300e+04   0.000000e+00   0.000000e+00
 4.644100e+04   0.000000e+00   0.000000e+00
 4.663900e+04   0.000000e+00   0.000000e+00
 4.683700e+04   0.000000e+00   0.000000e+00
 4.703500e+04   0.000000e+00   0.000000e+00
 4.723300e+04   0.000000e+00   0.000000e+00
 4.743100e+04   0.000000e+00   0.000000e+00
 4.762900e+04   0.000000e+00   0.000000e+00
 4.782700e+04   0.000000e+00   0.000000e+00
 4.802500e+04   0.000000e+00   0.000000e+00
 4.822300e+04   0.000000e+00   0.000000e+00
 4.842100e+04   0.000000e+00   0.000000e+00
 4.861900e+04   0.000000e+00   0.000000e+00
 4.881700e+04   0.000000e+00   0.000000e+00
 4.901500e+04   0.000000e+00   0.000000e+00
 4.921300e+04   0.000000e+00   0.000000e+00
 4.941100e+04   0.000000e+00   0.000000e+00
 4.960900e+04   0.000000e+00   0.000000e+00
 4.980700e+04   0.000000e+00   0.000000e+00
 5.000500e+04   0.000000e+00   0.000000e+00
 5.020300e+04   0.000000e+00   0.000000e+00
 5.040100e+04   0.000000e+00   0.000000e+00
 5.059900e+04   0.000000e+00   0.000000e+00
 5.079700e+04   0.000000e+00   0.000000e+00
 5.099500e+04   0.000000e+00   0.000000e+00
 5.119300e+04   0.000000e+00   0.000000e+00
 5.139100e+04   0.000000e+00   0.000000e+00
 5.158900e+04   0.000000e+00   0.000000e+00
 5.178700e+04   0.000000e+00   0.000000e+00
 5.198500e+04   0.000000e+00   0.000000e+00
 5.218300e+04   0.000000e+00   0.000000e+00
 5.238100e+04   0.000000e+00   0.000000e+00
 5.257900e+04   0.000000e+00   0.000000e+00
 5.277700e+04   0.000000e+00   0.000000e+00
 5.297500e+04   0.000000e+00   0.000000e+00
 5.317300e+04   0.000000e+00   0.000000e+00
 5.337100e+04   0.000000e+00   0.000000e+00
 5.356900e+04   0.000000e+00   0.000000e+00
 5.376700e+04   0.000000e+00   0.000000e+00
 5.396500e+04   0.000000e+00   0.000000e+00
 5.416300e+04   0.000000e+00   0.000000e+00
 5.436100e+04   0.000000e+00   0.000000e+00
 5.455900e+04   0.000000e+00   0.000000e+00
 5.475700e+04   0.000000e+00   0.000000e+00
 5.495500e+04   0.000000e+00   0.000000e+00
 5.515300e+04   0.000000e+00   0.000000e+00
 5.535100e+04   0.000000e+00   0.000000e+00
 5.554900e+04   0.000000e+00   0.000000e+00
 5.574700e+04   0.000000e+00   0.000000e+00
 5.594500e+04   0.000000e+00   0.000000e+00
 5.614300e+04   0.000000e+00   0.000000e+00
 5.634100e+04   0.000000e+00   0.000000e+00
 5.653900e+04   0.000000e+00   0.000000e+00
 5.673700e+04   0.000000e+00   0.000000e+00
 5.693500e+04   0.000000e+00   0.000000e+00
 5.713300e+04   0.000000e+00   0.000000e+00
 5.733100e+04   0.000000e+00   0.000000e+00
 5.752900e+04   0.000000e+00   0.000000e+00
 5.772700e+04   0.000000e+00   0.000000e+00
 5.792500e+04   0.000000e+00   0.000000e+00
 5.812300e+04   0.000000e+00   0.000000e+00
 5.832100e+04   0.000000e+00   0.000000e+00
 5.851900e+04   0.000000e+00   0.000000e+00
 5.871700e+04   0.000000e+00   0.000000e+00
 5.891500e+04   0.000000e+00   0.000000e+00
 5.911300e+04   0.000000e+00   0.000000e+00
 5.931100e+04   0.000000e+00   0.000000e+00
 5.950900e+04   0.000000e+00   0.000000e+00
 5.970700e+04   0.000000e+00   0.000000e+00
 5.990500e+04   0.000000e+00   0.000000e+00
 6.010300e+04   0.000000e+00   0.000000e+00
 6.030100e+04   0.000000e+00   0.000000e+00
 6.049900e+04   0.000000e+00   0.000000e+00
 6.069700e+04   0.000000e+00   0.000000e+00
 6.089500e+04   0.000000e+00   0.000000e+00
 6.109300e+04   0.000000e+00   0.000000e+00
 6.129100e+04   0.000000e+00   0.000000e+00
 6.148900e+04   0.000000e+00   0.000000e+00
 6.168700e+04   0.000000e+00   0.000000e+00
