cos_theta,num,num_err,ana,diff,rel_diff_percent
9.999982609999999994e-01,3.797949604948320892e+06,1.667045971116562941e+04,3.870840808029356878e+06,-7.289120308103598654e+04,-1.883084494971645650e+00
9.999982630000000539e-01,3.797701770358510781e+06,1.584081241365087226e+04,3.880313339060883503e+06,-8.261156870237272233e+04,-2.128992209746814801e+00
9.999982649999999973e-01,3.852816805678303819e+06,1.908795330045569790e+04,3.889819382488674950e+06,-3.700257681037113070e+04,-9.512672227649084933e-01
9.999982670000000518e-01,3.816540064990730956e+06,1.623623474318648550e+04,3.899359096934224945e+06,-8.281903194349398836e+04,-2.123913953157287260e+00
9.999982689999999952e-01,3.796836673621613998e+06,9.788704996666741863e+03,3.908932637714070268e+06,-1.120959640924562700e+05,-2.867687281457210968e+00
9.999982710000000496e-01,3.855204360388616566e+06,1.627544305057384372e+04,3.918540164759804960e+06,-6.333580437118839473e+04,-1.616311220713765318e+00
9.999982729999999931e-01,3.859881956582428422e+06,1.946133914246661516e+04,3.928181836811210494e+06,-6.829988022878207266e+04,-1.738714832107314701e+00
9.999982750000000475e-01,3.842356243667491712e+06,1.737147238677253335e+04,3.937857814066777006e+06,-9.550157039928529412e+04,-2.425216320867034092e+00
9.999982769999999910e-01,3.889269556677137967e+06,1.465677812435517626e+04,3.947568257661432028e+06,-5.829870098429406062e+04,-1.476825660231411153e+00
9.999982790000000454e-01,3.928940946554345544e+06,2.119244549311961237e+04,3.957313330213268287e+06,-2.837238365892274305e+04,-7.169607582575143745e-01
9.999982809999999889e-01,3.870955431087128352e+06,2.172847188470977926e+04,3.967093192587003112e+06,-9.613776149987475947e+04,-2.423380466068200345e+00
9.999982830000000433e-01,3.836919585687906947e+06,2.132219307312468663e+04,3.976908012013455387e+06,-1.399884263255484402e+05,-3.520031791096776441e+00
9.999982849999999868e-01,3.921998704661430325e+06,1.447917671217793941e+04,3.986757950726686977e+06,-6.475924606525665149e+04,-1.624358610821924787e+00
9.999982870000000412e-01,3.892822122292898130e+06,8.234544408914598534e+03,3.996643176823435351e+06,-1.038210545305372216e+05,-2.597706373503552157e+00
9.999982889999999847e-01,3.901986094676757231e+06,1.606783769866907642e+04,4.006563855558724608e+06,-1.045777608819673769e+05,-2.610160842360611078e+00
9.999982910000000391e-01,3.953335303880960215e+06,1.147479394703695107e+04,4.016520154803247191e+06,-6.318485092228697613e+04,-1.573124209192027445e+00
9.999982929999999826e-01,3.943763481467270758e+06,1.556880551384520368e+04,4.026512244525908493e+06,-8.274876305863773450e+04,-2.055097762862528654e+00
9.999982950000000370e-01,3.953737915309091099e+06,1.978161503610637374e+04,4.036540294597150292e+06,-8.280237928805919364e+04,-2.051320518189523767e+00
9.999982969999999805e-01,3.998608508463221602e+06,2.370159515015139914e+04,4.046604474218236748e+06,-4.799596575501514599e+04,-1.186079985350865895e+00
9.999982990000000349e-01,3.943390518833799753e+06,1.693767830368305295e+04,4.056704957497433759e+06,-1.133144386636340059e+05,-2.793263001644005872e+00
9.999983009999999783e-01,3.973092915529177990e+06,1.516134930706757041e+04,4.066841914536534809e+06,-9.374899900735681877e+04,-2.305203914424606815e+00
9.999983030000000328e-01,3.980484908387573436e+06,1.285429192340044028e+04,4.077015522626637481e+06,-9.653061423906404525e+04,-2.367678359411144129e+00
9.999983049999999762e-01,4.032163864189259242e+06,1.573790322887199909e+04,4.087225954480784480e+06,-5.506209029152523726e+04,-1.347175098826166595e+00
