phi5_y_cms bin centers    value    Error 
 5.544000e-03   1.302122e-03   4.173622e-04
 5.592000e-03   1.449823e-03   4.804145e-04
 5.640000e-03   2.652706e-03   7.775539e-04
 5.688000e-03   3.355530e-04   1.978162e-04
 5.736000e-03   2.457353e-03   5.741826e-04
 5.784000e-03   2.541476e-03   1.031345e-03
 5.832000e-03   2.725835e-03   8.377403e-04
 5.880000e-03   1.485517e-04   6.134816e-05
 5.928000e-03   2.219568e-03   5.666492e-04
 5.976000e-03   1.539519e-03   3.692329e-04
 6.024000e-03   2.273962e-03   5.522608e-04
 6.072000e-03   3.598850e-03   1.358811e-03
 6.120000e-03   2.456383e-03   7.547520e-04
 6.168000e-03   3.428195e-03   1.169955e-03
 6.216000e-03   1.715031e-03   5.875477e-04
 6.264000e-03   1.922492e-03   6.740409e-04
 6.312000e-03   2.147106e-03   6.129544e-04
 6.360000e-03   1.341174e-03   3.158750e-04
 6.408000e-03   1.363564e-03   3.979101e-04
 6.456000e-03   5.153883e-03   1.132671e-03
 6.504000e-03   4.173155e-03   1.888197e-03
 6.552000e-03   3.287716e-03   7.375741e-04
 6.600000e-03   3.082166e-03   9.868368e-04
 6.648000e-03   1.207205e-03   2.642699e-04
 6.696000e-03   2.673264e-03   6.106750e-04
 6.744000e-03   1.847738e-03   4.978704e-04
 6.792000e-03   1.561743e-03   4.246993e-04
 6.840000e-03   1.445881e-03   4.547635e-04
 6.888000e-03   2.852047e-03   7.583048e-04
 6.936000e-03   3.786263e-03   1.452605e-03
 6.984000e-03   2.425219e-03   6.308559e-04
 7.032000e-03   1.132654e-03   3.127610e-04
 7.080000e-03   1.792699e-03   5.810478e-04
 7.128000e-03   2.366140e-03   7.578028e-04
 7.176000e-03   1.830115e-03   7.002597e-04
 7.224000e-03   5.288347e-03   2.277931e-03
 7.272000e-03   3.042903e-03   8.763570e-04
 7.320000e-03   1.612067e-03   6.422213e-04
 7.368000e-03   1.090352e-03   5.058823e-04
 7.416000e-03   6.154112e-03   1.497473e-03
 7.464000e-03   3.964297e-03   1.124080e-03
 7.512000e-03   2.099684e-03   6.718149e-04
 7.560000e-03   1.355234e-03   4.363697e-04
 7.608000e-03   2.027000e-03   7.687459e-04
 7.656000e-03   1.641041e-03   5.353382e-04
 7.704000e-03   1.561139e-03   7.612237e-04
 7.752000e-03   2.901769e-03   7.454116e-04
 7.800000e-03   2.011477e-03   5.005205e-04
 7.848000e-03   1.957189e-03   5.162562e-04
 7.896000e-03   1.906886e-03   5.493002e-04
 7.944000e-03   1.151730e-03   3.220978e-04
 7.992000e-03   2.098688e-03   6.966342e-04
 8.040000e-03   4.340937e-03   1.176188e-03
 8.088000e-03   7.837519e-04   2.996890e-04
 8.136000e-03   3.207245e-03   1.368565e-03
 8.184000e-03   1.816078e-03   5.709123e-04
 8.232000e-03   7.119514e-04   2.303196e-04
 8.280000e-03   1.304359e-03   2.750576e-04
 8.328000e-03   1.108944e-03   3.702419e-04
 8.376000e-03   3.154884e-03   7.044295e-04
 8.424000e-03   3.492047e-03   9.842889e-04
 8.472000e-03   1.400518e-03   3.854874e-04
 8.520000e-03   1.809589e-03   6.077127e-04
 8.568000e-03   1.766412e-03   4.756871e-04
 8.616000e-03   2.512029e-03   9.280333e-04
 8.664000e-03   3.573285e-03   8.891602e-04
 8.712000e-03   2.790181e-03   8.912011e-04
 8.760000e-03   1.748448e-03   3.851547e-04
 8.808000e-03   1.929177e-03   5.516726e-04
 8.856000e-03   1.830275e-03   4.599679e-04
 8.904000e-03   2.091561e-03   6.210531e-04
 8.952000e-03   2.424674e-03   7.017568e-04
 9.000000e-03   2.764812e-03   7.719103e-04
 9.048000e-03   6.745494e-04   2.578984e-04
 9.096000e-03   2.811574e-03   7.608842e-04
 9.144000e-03   3.401223e-03   1.075330e-03
 9.192000e-03   3.524510e-03   7.393425e-04
 9.240000e-03   1.486716e-03   4.076639e-04
 9.288000e-03   1.921239e-03   4.447276e-04
 9.336000e-03   1.866492e-03   5.147014e-04
 9.384000e-03   1.562451e-03   6.662886e-04
 9.432000e-03   3.566466e-03   1.109228e-03
 9.480000e-03   1.341291e-03   4.514792e-04
 9.528000e-03   2.297834e-03   6.677160e-04
 9.576000e-03   3.452831e-03   1.250975e-03
 9.624000e-03   1.676909e-03   5.198831e-04
 9.672000e-03   4.009966e-03   1.216927e-03
 9.720000e-03   2.907846e-03   7.673431e-04
 9.768000e-03   2.940644e-03   1.005181e-03
 9.816000e-03   8.122512e-04   3.376519e-04
 9.864000e-03   5.830554e-04   1.998344e-04
 9.912000e-03   5.572879e-04   3.155095e-04
 9.960000e-03   2.233533e-03   7.325246e-04
 1.000800e-02   2.015126e-03   7.860303e-04
 1.005600e-02   3.146517e-03   9.619627e-04
 1.010400e-02   6.399933e-04   2.133212e-04
 1.015200e-02   2.326585e-03   6.899487e-04
 1.020000e-02   3.191918e-03   7.461898e-04
 1.024800e-02   3.225320e-03   1.005725e-03
 1.029600e-02   2.182585e-03   7.083276e-04
 1.034400e-02   1.874893e-03   4.294110e-04
 1.039200e-02   2.261739e-03   4.921833e-04
 1.044000e-02   1.192737e-03   5.106394e-04
 1.048800e-02   1.092356e-03   3.318017e-04
 1.053600e-02   1.468188e-03   4.507191e-04
 1.058400e-02   1.105810e-03   5.382440e-04
 1.063200e-02   1.841107e-03   4.632563e-04
 1.068000e-02   3.357656e-03   6.816533e-04
 1.072800e-02   4.053077e-03   1.340868e-03
 1.077600e-02   5.193081e-03   1.368240e-03
 1.082400e-02   2.130413e-03   6.994912e-04
 1.087200e-02   3.969073e-03   1.021305e-03
 1.092000e-02   2.762673e-03   7.703439e-04
 1.096800e-02   3.190349e-03   1.312722e-03
 1.101600e-02   1.205495e-03   3.987482e-04
 1.106400e-02   2.222390e-03   5.954447e-04
 1.111200e-02   1.800001e-03   5.600264e-04
 1.116000e-02   1.946112e-03   5.501823e-04
 1.120800e-02   9.991147e-04   4.167540e-04
 1.125600e-02   5.966556e-04   2.318122e-04
 1.130400e-02   2.417995e-03   5.361816e-04
 1.135200e-02   1.918464e-03   7.564234e-04
 1.140000e-02   3.257518e-03   5.460909e-04
 1.144800e-02   2.384185e-03   5.540863e-04
 1.149600e-02   1.294479e-03   4.258680e-04
 1.154400e-02   4.826583e-04   2.355270e-04
 1.159200e-02   3.086698e-03   9.656279e-04
 1.164000e-02   1.461356e-03   4.307609e-04
 1.168800e-02   3.168502e-03   1.145358e-03
 1.173600e-02   9.177264e-04   2.684543e-04
 1.178400e-02   2.612148e-03   5.399449e-04
 1.183200e-02   1.604725e-03   4.632350e-04
 1.188000e-02   7.805801e-04   1.867475e-04
 1.192800e-02   2.949411e-03   8.615375e-04
 1.197600e-02   3.321720e-03   7.444393e-04
 inf   1.748301e-02   3.145938e-04
