th3_cms bin centers    value    Error 
 1.471170e-03   1.497493e+04   2.252154e+02
 1.471790e-03   1.472795e+04   1.324155e+02
 1.472410e-03   1.519496e+04   1.202659e+02
 1.473030e-03   1.516714e+04   1.268485e+02
 1.473650e-03   1.537794e+04   1.693966e+02
 1.474270e-03   1.482440e+04   1.846981e+02
 1.474890e-03   1.501904e+04   1.465101e+02
 1.475510e-03   1.470510e+04   1.657306e+02
 1.476130e-03   1.479948e+04   1.500744e+02
 1.476750e-03   1.487593e+04   2.047249e+02
 1.477370e-03   1.512073e+04   9.677518e+01
 1.477990e-03   1.493937e+04   1.143393e+02
 1.478610e-03   1.444053e+04   2.052570e+02
 1.479230e-03   1.493854e+04   1.964650e+02
 1.479850e-03   1.475028e+04   1.685320e+02
 1.480470e-03   1.462649e+04   2.663755e+02
 1.481090e-03   1.501948e+04   1.593081e+02
 1.481710e-03   1.463357e+04   2.364970e+02
 1.482330e-03   1.479158e+04   1.153587e+02
 1.482950e-03   1.473183e+04   2.145671e+02
 1.483570e-03   1.469707e+04   1.532303e+02
 1.484190e-03   1.465764e+04   1.153540e+02
 1.484810e-03   1.492654e+04   1.976631e+02
 1.485430e-03   1.472590e+04   1.334199e+02
 1.486050e-03   1.459426e+04   6.970799e+01
 1.486670e-03   1.468373e+04   1.224976e+02
 1.487290e-03   1.481436e+04   1.023277e+02
 1.487910e-03   1.453158e+04   1.970147e+02
 1.488530e-03   1.448793e+04   1.790147e+02
 1.489150e-03   1.446958e+04   1.809108e+02
 1.489770e-03   1.417004e+04   1.423829e+02
 1.490390e-03   1.481037e+04   1.468461e+02
 1.491010e-03   1.460480e+04   1.622967e+02
 1.491630e-03   1.447362e+04   1.734031e+02
 1.492250e-03   1.466686e+04   1.557269e+02
 1.492870e-03   1.468210e+04   1.232036e+02
 1.493490e-03   1.414766e+04   1.384159e+02
 1.494110e-03   1.440853e+04   1.486663e+02
 1.494730e-03   1.420773e+04   1.501549e+02
 1.495350e-03   1.435236e+04   2.104099e+02
 1.495970e-03   1.422481e+04   1.606675e+02
 1.496590e-03   1.447009e+04   1.786950e+02
 1.497210e-03   1.437527e+04   1.596399e+02
 1.497830e-03   1.434515e+04   1.487607e+02
 1.498450e-03   1.414514e+04   1.150117e+02
 1.499070e-03   1.412872e+04   1.226671e+02
 1.499690e-03   1.431446e+04   6.908084e+01
