th5_y_lab bin centers    value    Error 
-3.960000e-03   3.410200e-03   1.081324e-03
-3.912000e-03   2.694976e-03   7.618981e-04
-3.864000e-03   1.066822e-02   4.737425e-03
-3.816000e-03   5.380425e-03   1.330879e-03
-3.768000e-03   2.911935e-03   7.733939e-04
-3.720000e-03   1.581217e-03   4.752254e-04
-3.672000e-03   3.597190e-03   1.036565e-03
-3.624000e-03   1.644959e-03   4.940737e-04
-3.576000e-03   3.630458e-04   2.146260e-04
-3.528000e-03   2.722006e-03   7.618653e-04
-3.480000e-03   3.388553e-03   1.310705e-03
-3.432000e-03   1.111704e-02   4.638251e-03
-3.384000e-03   4.821775e-03   1.086152e-03
-3.336000e-03   8.496505e-04   3.319590e-04
-3.288000e-03   3.688975e-03   1.004960e-03
-3.240000e-03   5.829534e-03   2.966766e-03
-3.192000e-03   2.138482e-03   6.324548e-04
-3.144000e-03   6.156163e-03   2.130427e-03
-3.096000e-03   4.594368e-03   1.607009e-03
-3.048000e-03   2.442009e-03   5.582351e-04
-3.000000e-03   1.571157e-03   5.526732e-04
-2.952000e-03   2.193366e-03   6.254575e-04
-2.904000e-03   4.826520e-03   1.499365e-03
-2.856000e-03   1.859754e-03   5.202118e-04
-2.808000e-03   4.316653e-03   2.136045e-03
-2.760000e-03   2.188620e-03   7.445623e-04
-2.712000e-03   1.753812e-03   7.393828e-04
-2.664000e-03   3.218181e-03   9.518932e-04
-2.616000e-03   5.618704e-03   3.229175e-03
-2.568000e-03   5.247974e-03   1.153166e-03
-2.520000e-03   3.442270e-03   1.504150e-03
-2.472000e-03   3.018891e-03   6.265545e-04
-2.424000e-03   4.483262e-03   1.158797e-03
-2.376000e-03   2.183517e-03   1.177969e-03
-2.328000e-03   1.919894e-03   4.668641e-04
-2.280000e-03   6.493554e-03   3.602479e-03
-2.232000e-03   3.216572e-03   8.434950e-04
-2.184000e-03   7.829498e-03   3.545213e-03
-2.136000e-03   3.849408e-03   1.094026e-03
-2.088000e-03   2.595729e-03   1.160355e-03
-2.040000e-03   5.312700e-03   1.429913e-03
-1.992000e-03   2.382572e-03   1.133698e-03
-1.944000e-03   1.019749e-03   3.962389e-04
-1.896000e-03   4.450499e-03   1.592554e-03
-1.848000e-03   3.519037e-03   1.097787e-03
-1.800000e-03   3.330120e-03   7.122746e-04
-1.752000e-03   1.899345e-03   8.825920e-04
-1.704000e-03   2.816317e-03   9.375593e-04
-1.656000e-03   3.476098e-03   1.647475e-03
-1.608000e-03   3.474941e-03   1.058067e-03
-1.560000e-03   3.240671e-03   1.063836e-03
-1.512000e-03   3.787101e-03   9.820477e-04
-1.464000e-03   3.176749e-03   8.121538e-04
-1.416000e-03   4.000728e-03   1.478499e-03
-1.368000e-03   4.767624e-03   1.832560e-03
-1.320000e-03   4.631292e-03   2.047665e-03
-1.272000e-03   1.884613e-03   4.879002e-04
-1.224000e-03   2.779137e-03   1.051843e-03
-1.176000e-03   2.877323e-03   1.196203e-03
-1.128000e-03   1.396765e-03   4.713511e-04
-1.080000e-03   5.971291e-03   1.785255e-03
-1.032000e-03   1.770024e-03   6.863435e-04
-9.840000e-04   1.708439e-02   1.144423e-02
-9.360000e-04   4.115865e-03   8.650365e-04
-8.880000e-04   2.715418e-03   8.025065e-04
-8.400000e-04   2.727933e-03   7.263620e-04
-7.920000e-04   6.044183e-03   2.198677e-03
-7.440000e-04   2.880397e-03   9.836963e-04
-6.960000e-04   3.128034e-03   7.680015e-04
-6.480000e-04   3.682890e-03   1.719327e-03
-6.000000e-04   2.579794e-03   5.821359e-04
-5.520000e-04   1.392698e-03   4.226503e-04
-5.040000e-04   2.665868e-03   2.076232e-03
-4.560000e-04   2.598784e-03   6.073788e-04
-4.080000e-04   1.240077e-03   5.794101e-04
-3.600000e-04   1.560855e-03   4.801603e-04
-3.120000e-04   4.417263e-03   1.498430e-03
-2.640000e-04   4.881620e-03   1.607515e-03
-2.160000e-04   5.474267e-03   2.014646e-03
-1.680000e-04   2.353937e-03   7.921881e-04
-1.200000e-04   3.328164e-03   1.059958e-03
-7.200000e-05   1.842156e-03   5.360906e-04
-2.400000e-05  -9.575150e+03   6.412920e+02
 2.400000e-05   6.174641e-03   2.681832e-03
 7.200000e-05   2.694562e-03   8.591084e-04
 1.200000e-04   7.439447e-03   3.545056e-03
 1.680000e-04   2.948766e-03   9.647721e-04
 2.160000e-04   3.833302e-03   1.398815e-03
 2.640000e-04   5.548706e-03   2.559409e-03
 3.120000e-04   1.990642e-03   8.203068e-04
 3.600000e-04   3.680736e-03   1.308286e-03
 4.080000e-04   2.048947e-03   5.829382e-04
 4.560000e-04   2.603703e-03   9.206024e-04
 5.040000e-04   2.246898e-03   1.046870e-03
 5.520000e-04   2.686519e-03   7.620462e-04
 6.000000e-04   1.655492e-03   3.981302e-04
 6.480000e-04   2.481197e-03   1.010987e-03
 6.960000e-04   6.158814e-03   2.434793e-03
 7.440000e-04   1.678387e-03   7.503527e-04
 7.920000e-04   3.298067e-03   1.073309e-03
 8.400000e-04   3.463058e-03   8.972887e-04
 8.880000e-04   2.586567e-03   9.720667e-04
 9.360000e-04   2.498713e-03   8.129417e-04
 9.840000e-04   7.834782e-03   3.678922e-03
 1.032000e-03   1.819666e-03   5.452833e-04
 1.080000e-03   3.742901e-03   1.489588e-03
 1.128000e-03   7.431546e-03   2.761800e-03
 1.176000e-03   2.712600e-03   8.359384e-04
 1.224000e-03   2.336054e-03   1.346438e-03
 1.272000e-03   3.263395e-03   1.126017e-03
 1.320000e-03   1.167388e-03   5.377440e-04
 1.368000e-03   1.961889e-03   6.578994e-04
 1.416000e-03   8.832597e-04   3.710562e-04
 1.464000e-03   2.916883e-03   9.962695e-04
 1.512000e-03   1.338200e-03   5.768466e-04
 1.560000e-03   2.294279e-03   8.400001e-04
 1.608000e-03   3.641240e-03   1.475594e-03
 1.656000e-03   6.741252e-03   2.214154e-03
 1.704000e-03   6.305471e-03   2.143344e-03
 1.752000e-03   4.517952e-03   1.335715e-03
 1.800000e-03   1.926504e-03   8.774095e-04
 1.848000e-03   5.079845e-04   2.795363e-04
 1.896000e-03   9.613439e-04   5.156286e-04
 1.944000e-03   1.667729e-03   7.575765e-04
 1.992000e-03   5.147436e-03   1.481156e-03
 2.040000e-03   1.201806e-03   3.163762e-04
 2.088000e-03   4.903061e-03   1.801836e-03
 2.136000e-03   1.051570e-02   3.447368e-03
 2.184000e-03   2.335232e-03   9.641941e-04
 2.232000e-03   1.255173e-03   5.340700e-04
 2.280000e-03   2.065700e-03   5.820296e-04
 2.328000e-03   5.684698e-03   2.857563e-03
 2.376000e-03   2.017902e-03   8.820568e-04
 2.424000e-03   8.142850e-03   2.457304e-03
 2.472000e-03   5.672021e-03   1.972322e-03
 2.520000e-03   6.439358e-03   3.263794e-03
 2.568000e-03   3.090653e-03   8.227709e-04
 2.616000e-03   3.978098e-03   1.473573e-03
 2.664000e-03   1.082278e-03   4.851531e-04
 2.712000e-03   1.479375e-03   5.687964e-04
 2.760000e-03   1.478082e-03   4.620239e-04
 2.808000e-03   3.733056e-03   1.236154e-03
 2.856000e-03   7.174839e-04   3.137049e-04
 2.904000e-03   2.533811e-03   7.659076e-04
 2.952000e-03   4.243246e-03   2.225836e-03
 3.000000e-03   1.757516e-03   4.596725e-04
 3.048000e-03   4.871012e-03   2.467140e-03
 3.096000e-03   4.026249e-03   9.115104e-04
 3.144000e-03   2.806047e-03   1.087381e-03
 3.192000e-03   2.190502e-03   5.548912e-04
 3.240000e-03   7.045379e-03   2.968981e-03
 3.288000e-03   3.628506e-03   1.272131e-03
 3.336000e-03   4.508629e-03   1.401441e-03
 3.384000e-03   2.766697e-03   7.964978e-04
 3.432000e-03   1.886436e-03   3.358117e-04
 3.480000e-03   1.883500e-03   8.338440e-04
 3.528000e-03   2.842787e-03   8.495325e-04
 3.576000e-03   1.574043e-03   5.741190e-04
 3.624000e-03   2.434554e-03   6.651284e-04
 3.672000e-03   2.425954e-03   9.224805e-04
 3.720000e-03   1.578469e-03   6.678538e-04
 3.768000e-03   1.273944e-03   4.827202e-04
 3.816000e-03   2.488526e-03   9.649024e-04
 3.864000e-03   4.486341e-03   2.085143e-03
 3.912000e-03   3.244293e-03   1.499229e-03
 3.960000e-03   5.279142e-03   1.346199e-03
 4.008000e-03   3.905634e-03   1.320083e-03
 4.056000e-03   7.662944e-03   2.878450e-03
 4.104000e-03   2.375982e-03   5.971051e-04
 4.152000e-03   4.862501e-04   2.444068e-04
 4.200000e-03   1.329419e-03   3.747315e-04
 4.248000e-03   2.275853e-03   1.516030e-03
 4.296000e-03   2.214303e-03   1.166393e-03
 4.344000e-03   3.211717e-03   7.070371e-04
 4.392000e-03   2.486382e-03   1.011047e-03
 4.440000e-03   3.119171e-03   1.872618e-03
 4.488000e-03   2.938851e-03   8.926153e-04
 4.536000e-03   1.638582e-03   5.834131e-04
 4.584000e-03   2.531255e-03   9.987873e-04
 4.632000e-03   5.708301e-03   2.950013e-03
 4.680000e-03   3.243532e-03   1.378593e-03
 4.728000e-03   6.430495e-03   2.778140e-03
 4.776000e-03   3.767440e-03   1.427511e-03
 4.824000e-03   3.384580e-03   1.030189e-03
 4.872000e-03   1.909758e-03   8.993016e-04
 4.920000e-03   1.664525e-03   6.127998e-04
 4.968000e-03   2.415524e-03   7.349411e-04
 5.016000e-03   3.429295e-03   1.539833e-03
 5.064000e-03   3.927442e-03   2.867264e-03
 5.112000e-03   8.211758e-03   3.632989e-03
 5.160000e-03   4.568640e-03   1.184371e-03
 5.208000e-03   2.296960e-03   9.747592e-04
 5.256000e-03   3.567457e-03   1.995768e-03
 5.304000e-03   2.411606e-03   8.736864e-04
 5.352000e-03   1.700505e-03   4.444723e-04
 5.400000e-03   1.355222e-03   5.366768e-04
 5.448000e-03   3.187396e-03   1.088655e-03
 5.496000e-03   5.455469e-03   1.895712e-03
 5.544000e-03   1.666620e-03   5.073351e-04
 5.592000e-03   2.207872e-03   5.156615e-04
 5.640000e-03   2.564949e-03   7.181995e-04
 5.688000e-03   1.877056e-03   7.375668e-04
 5.736000e-03   8.237328e-03   2.632336e-03
 5.784000e-03   1.659494e-03   4.479808e-04
 5.832000e-03   5.704814e-03   2.323761e-03
 5.880000e-03   2.471950e-03   7.842800e-04
 5.928000e-03   2.796105e-03   9.055705e-04
 5.976000e-03   3.262242e-03   1.193022e-03
 6.024000e-03   1.752051e-03   8.341974e-04
 6.072000e-03   2.074409e-03   9.458461e-04
 6.120000e-03   2.609195e-03   1.004328e-03
 6.168000e-03   2.956089e-03   7.823544e-04
 6.216000e-03   9.702067e-04   3.127757e-04
 6.264000e-03   2.468720e-03   7.236780e-04
 6.312000e-03   1.143542e-02   4.843938e-03
 6.360000e-03   8.105750e-03   2.596142e-03
 6.408000e-03   2.441332e-03   9.862905e-04
 6.456000e-03   2.979405e-03   1.564889e-03
 6.504000e-03   1.934132e-03   6.917951e-04
 6.552000e-03   4.562413e-03   1.479279e-03
 6.600000e-03   4.599695e-03   1.760935e-03
 6.648000e-03   2.613142e-03   7.922350e-04
 6.696000e-03   3.239825e-03   1.157436e-03
 6.744000e-03   4.804951e-03   2.727076e-03
 6.792000e-03   1.546098e-03   4.045562e-04
 6.840000e-03   5.731002e-03   1.182945e-03
 6.888000e-03   4.256727e-03   1.084468e-03
 6.936000e-03   4.286943e-03   1.776105e-03
 6.984000e-03   9.199064e-04   3.013024e-04
 7.032000e-03   4.087358e-03   1.354462e-03
