th3_cms_lab bin centers    value    Error 
 1.422810e-03   0.000000e+00   0.000000e+00
 1.423430e-03   0.000000e+00   0.000000e+00
 1.424050e-03   0.000000e+00   0.000000e+00
 1.424670e-03   0.000000e+00   0.000000e+00
 1.425290e-03   0.000000e+00   0.000000e+00
 1.425910e-03   0.000000e+00   0.000000e+00
 1.426530e-03   0.000000e+00   0.000000e+00
 1.427150e-03   0.000000e+00   0.000000e+00
 1.427770e-03   0.000000e+00   0.000000e+00
 1.428390e-03   0.000000e+00   0.000000e+00
 1.429010e-03   0.000000e+00   0.000000e+00
 1.429630e-03   0.000000e+00   0.000000e+00
 1.430250e-03   0.000000e+00   0.000000e+00
 1.430870e-03   0.000000e+00   0.000000e+00
 1.431490e-03   0.000000e+00   0.000000e+00
 1.432110e-03   0.000000e+00   0.000000e+00
 1.432730e-03   0.000000e+00   0.000000e+00
 1.433350e-03   0.000000e+00   0.000000e+00
 1.433970e-03   0.000000e+00   0.000000e+00
 1.434590e-03   0.000000e+00   0.000000e+00
 1.435210e-03   0.000000e+00   0.000000e+00
 1.435830e-03   0.000000e+00   0.000000e+00
 1.436450e-03   0.000000e+00   0.000000e+00
 1.437070e-03   0.000000e+00   0.000000e+00
 1.437690e-03   0.000000e+00   0.000000e+00
 1.438310e-03   0.000000e+00   0.000000e+00
 1.438930e-03   0.000000e+00   0.000000e+00
 1.439550e-03   0.000000e+00   0.000000e+00
 1.440170e-03   0.000000e+00   0.000000e+00
 1.440790e-03   0.000000e+00   0.000000e+00
 1.441410e-03   0.000000e+00   0.000000e+00
 1.442030e-03   0.000000e+00   0.000000e+00
 1.442650e-03   0.000000e+00   0.000000e+00
 1.443270e-03   0.000000e+00   0.000000e+00
 1.443890e-03   0.000000e+00   0.000000e+00
 1.444510e-03   0.000000e+00   0.000000e+00
 1.445130e-03   0.000000e+00   0.000000e+00
 1.445750e-03   0.000000e+00   0.000000e+00
 1.446370e-03   0.000000e+00   0.000000e+00
 1.446990e-03   0.000000e+00   0.000000e+00
