th3_cms bin centers    value    Error 
 1.464350e-03   1.534333e+04   4.556768e+01
 1.464970e-03   1.542361e+04   8.570407e+01
 1.465590e-03   1.509540e+04   1.081279e+02
 1.466210e-03   1.527225e+04   7.349129e+01
 1.466830e-03   1.525789e+04   7.077578e+01
 1.467450e-03   1.530318e+04   7.823915e+01
 1.468070e-03   1.507594e+04   1.177653e+02
 1.468690e-03   1.516285e+04   8.989298e+01
 1.469310e-03   1.508646e+04   9.533158e+01
 1.469930e-03   1.520575e+04   8.517136e+01
 1.470550e-03   1.495707e+04   7.478917e+01
 1.471170e-03   1.513813e+04   8.191186e+01
 1.471790e-03   1.509845e+04   7.372247e+01
 1.472410e-03   1.503249e+04   1.294888e+02
 1.473030e-03   1.507433e+04   7.300859e+01
 1.473650e-03   1.502004e+04   7.073481e+01
 1.474270e-03   1.490952e+04   9.455346e+01
 1.474890e-03   1.509939e+04   1.051367e+02
 1.475510e-03   1.495107e+04   9.011661e+01
 1.476130e-03   1.492291e+04   4.927027e+01
 1.476750e-03   1.490134e+04   1.666395e+02
 1.477370e-03   1.491961e+04   3.663536e+01
 1.477990e-03   1.476452e+04   8.022548e+01
 1.478610e-03   1.484078e+04   1.404054e+02
 1.479230e-03   1.487080e+04   6.260757e+01
 1.479850e-03   1.476590e+04   9.717101e+01
 1.480470e-03   1.479802e+04   1.574566e+02
 1.481090e-03   1.472789e+04   1.069566e+02
 1.481710e-03   1.459013e+04   1.426095e+02
 1.482330e-03   1.492487e+04   1.092538e+02
 1.482950e-03   1.478260e+04   7.297779e+01
 1.483570e-03   1.484465e+04   1.103893e+02
 1.484190e-03   1.459963e+04   1.049423e+02
 1.484810e-03   1.464825e+04   9.798286e+01
 1.485430e-03   1.466772e+04   3.607043e+01
 1.486050e-03   1.459588e+04   4.434097e+01
 1.486670e-03   1.485674e+04   1.139423e+02
 1.487290e-03   1.453525e+04   8.304919e+01
 1.487910e-03   1.454608e+04   1.031767e+02
 1.488530e-03   1.452007e+04   5.725585e+01
 1.489150e-03   1.464644e+04   6.247962e+01
 1.489770e-03   1.446625e+04   4.404290e+01
 1.490390e-03   1.446306e+04   7.356771e+01
 1.491010e-03   1.450173e+04   9.614174e+01
 1.491630e-03   1.447085e+04   1.125612e+02
 1.492250e-03   1.441187e+04   3.200344e+01
 1.492870e-03   1.442934e+04   9.731614e+01
 1.493490e-03   1.459210e+04   1.575558e+02
 1.494110e-03   1.422993e+04   1.182266e+02
 1.494730e-03   1.447077e+04   7.352161e+01
 1.495350e-03   1.440227e+04   3.609039e+01
 1.495970e-03   1.438374e+04   6.664523e+01
 1.496590e-03   1.413702e+04   1.001344e+02
 1.497210e-03   1.430499e+04   3.887872e+01
 1.497830e-03   1.433614e+04   6.697844e+01
 1.498450e-03   1.425512e+04   1.057305e+02
 1.499070e-03   1.432519e+04   1.074797e+02
 1.499690e-03   1.428071e+04   6.704537e+01
 1.500310e-03   1.424416e+04   1.415998e+02
 1.500930e-03   1.415324e+04   8.419920e+01
 1.501550e-03   1.420542e+04   6.407900e+01
 1.502170e-03   1.411011e+04   1.245341e+02
 1.502790e-03   1.411951e+04   5.945487e+01
 1.503410e-03   1.382355e+04   9.064028e+01
 1.504030e-03   1.418600e+04   6.375674e+01
 1.504650e-03   1.406711e+04   4.487331e+01
 1.505270e-03   1.417550e+04   4.482171e+01
 1.505890e-03   1.386202e+04   9.289637e+01
 1.506510e-03   1.412876e+04   8.029445e+01
 1.507130e-03   1.403568e+04   5.541917e+01
 1.507750e-03   1.396905e+04   4.563121e+01
 1.508370e-03   1.415424e+04   1.200119e+02
 1.508990e-03   1.398774e+04   7.987226e+01
 1.509610e-03   1.400769e+04   1.221304e+02
 1.510230e-03   1.377391e+04   1.052329e+02
 1.510850e-03   1.397903e+04   8.045957e+01
 1.511470e-03   1.389704e+04   1.160839e+02
 1.512090e-03   1.379559e+04   1.067847e+02
 1.512710e-03   1.372487e+04   8.007292e+01
 1.513330e-03   1.379585e+04   1.017923e+02
 1.513950e-03   1.376224e+04   9.407927e+01
 1.514570e-03   1.376045e+04   1.125709e+02
 1.515190e-03   1.371234e+04   5.500141e+01
 1.515810e-03   1.373232e+04   5.853588e+01
 1.516430e-03   1.373091e+04   6.067716e+01
 1.517050e-03   1.376726e+04   6.534710e+01
 1.517670e-03   1.370660e+04   8.271073e+01
 1.518290e-03   1.366045e+04   6.695565e+01
 1.518910e-03   1.376452e+04   1.013132e+02
 1.519530e-03   1.357975e+04   9.599428e+01
 1.520150e-03   1.352253e+04   1.083273e+02
 1.520770e-03   1.362464e+04   4.971416e+01
 1.521390e-03   1.340381e+04   1.396161e+02
 1.522010e-03   1.363146e+04   6.295813e+01
 1.522630e-03   1.362419e+04   1.259631e+02
 1.523250e-03   1.362748e+04   9.970921e+01
 1.523870e-03   1.343571e+04   6.770452e+01
 1.524490e-03   1.345851e+04   4.193104e+01
 1.525110e-03   1.349989e+04   8.304181e+01
 1.525730e-03   1.352302e+04   4.093854e+01
 1.526350e-03   1.363873e+04   8.651351e+01
 1.526970e-03   1.341383e+04   3.548984e+01
 1.527590e-03   1.344394e+04   9.304939e+01
 1.528210e-03   1.350328e+04   7.248856e+01
 1.528830e-03   1.331817e+04   6.027254e+01
 1.529450e-03   1.348352e+04   7.830528e+01
 1.530070e-03   1.332256e+04   8.856663e+01
 1.530690e-03   1.326234e+04   8.514951e+01
 1.531310e-03   1.323495e+04   7.851311e+01
 1.531930e-03   1.336875e+04   7.125021e+01
 1.532550e-03   1.319626e+04   4.591736e+01
 1.533170e-03   1.320919e+04   8.525053e+01
 1.533790e-03   1.332812e+04   8.069755e+01
 1.534410e-03   1.318244e+04   1.405153e+02
 1.535030e-03   1.328443e+04   1.123605e+02
 1.535650e-03   1.307393e+04   8.161150e+01
 1.536270e-03   1.319681e+04   5.611374e+01
 1.536890e-03   1.324508e+04   7.837066e+01
 1.537510e-03   1.327381e+04   7.709052e+01
 1.538130e-03   1.309659e+04   1.010127e+02
 1.538750e-03   1.316994e+04   1.016998e+02
 1.539370e-03   1.307848e+04   9.611938e+01
 1.539990e-03   1.304624e+04   5.158851e+01
 1.540610e-03   1.306684e+04   5.085187e+01
 1.541230e-03   1.299088e+04   4.250267e+01
 1.541850e-03   1.312804e+04   9.599014e+01
 1.542470e-03   1.296985e+04   4.753166e+01
 1.543090e-03   1.297796e+04   5.294469e+01
 1.543710e-03   1.293546e+04   2.626417e+01
 1.544330e-03   1.302070e+04   1.374493e+02
 1.544950e-03   1.302078e+04   8.224552e+01
 1.545570e-03   1.299501e+04   5.200661e+01
 1.546190e-03   1.288776e+04   6.295373e+01
 1.546810e-03   1.288462e+04   7.998294e+01
 1.547430e-03   1.289990e+04   5.600768e+01
 1.548050e-03   1.278148e+04   3.839089e+01
 1.548670e-03   1.287733e+04   8.697108e+01
 1.549290e-03   1.296006e+04   7.941512e+01
 1.549910e-03   1.280257e+04   7.153510e+01
 1.550530e-03   1.272966e+04   8.995673e+01
 1.551150e-03   1.277702e+04   6.011410e+01
 1.551770e-03   1.274925e+04   8.710728e+01
 1.552390e-03   1.280427e+04   7.966384e+01
 1.553010e-03   1.278259e+04   5.084226e+01
 1.553630e-03   1.271700e+04   4.693059e+01
 1.554250e-03   1.273857e+04   5.368172e+01
 1.554870e-03   1.273421e+04   4.590997e+01
 1.555490e-03   1.263684e+04   7.108189e+01
 1.556110e-03   1.255710e+04   8.144622e+01
 1.556730e-03   1.272174e+04   5.073052e+01
 1.557350e-03   1.263031e+04   4.597077e+01
 1.557970e-03   1.261485e+04   4.927983e+01
 1.558590e-03   1.256719e+04   6.769095e+01
 1.559210e-03   1.252680e+04   1.170082e+02
 1.559830e-03   1.249144e+04   9.686189e+01
 1.560450e-03   1.255665e+04   7.981121e+01
 1.561070e-03   1.251702e+04   5.994395e+01
 1.561690e-03   1.240808e+04   6.678472e+01
 1.562310e-03   1.245838e+04   7.143016e+01
 1.562930e-03   1.241468e+04   3.313393e+01
 1.563550e-03   1.256668e+04   7.170740e+01
 1.564170e-03   1.246553e+04   1.120201e+02
 1.564790e-03   1.238697e+04   4.543938e+01
 1.565410e-03   1.235145e+04   6.517503e+01
 1.566030e-03   1.229795e+04   5.357721e+01
 1.566650e-03   1.234335e+04   6.724122e+01
 1.567270e-03   1.246501e+04   7.542717e+01
 1.567890e-03   1.240159e+04   6.017000e+01
 1.568510e-03   1.227872e+04   5.742532e+01
 1.569130e-03   1.238579e+04   4.900035e+01
 1.569750e-03   1.235974e+04   4.823768e+01
 1.570370e-03   1.231464e+04   4.890627e+01
 1.570990e-03   1.232934e+04   7.161394e+01
 1.571610e-03   1.216771e+04   5.981685e+01
 1.572230e-03   1.237036e+04   6.324720e+01
 1.572850e-03   1.216772e+04   8.149801e+01
 1.573470e-03   1.214948e+04   8.320215e+01
 1.574090e-03   1.224833e+04   6.641488e+01
 1.574710e-03   1.240121e+04   1.015793e+02
 1.575330e-03   1.195856e+04   8.159108e+01
 1.575950e-03   1.212883e+04   8.724039e+01
 1.576570e-03   1.204626e+04   5.692987e+01
 1.577190e-03   1.204716e+04   9.949668e+01
 1.577810e-03   1.205454e+04   4.754325e+01
 1.578430e-03   1.222974e+04   5.892284e+01
 1.579050e-03   1.211502e+04   6.486577e+01
 1.579670e-03   1.196771e+04   5.968870e+01
 1.580290e-03   1.208865e+04   4.486652e+01
 1.580910e-03   1.198686e+04   5.852468e+01
 1.581530e-03   1.208751e+04   5.359823e+01
 1.582150e-03   1.187803e+04   7.511673e+01
 1.582770e-03   1.215953e+04   9.295703e+01
 1.583390e-03   1.197644e+04   4.214641e+01
 1.584010e-03   1.197992e+04   6.751877e+01
 1.584630e-03   1.196456e+04   3.178509e+01
 1.585250e-03   1.197494e+04   4.347339e+01
 1.585870e-03   1.186765e+04   6.253998e+01
 1.586490e-03   1.190493e+04   8.100481e+01
 1.587110e-03   1.172395e+04   8.773715e+01
 1.587730e-03   1.201374e+04   8.789932e+01
 1.588350e-03   1.178337e+04   9.788684e+01
 1.588970e-03   1.178763e+04   7.647541e+01
 1.589590e-03   1.185550e+04   3.988618e+01
 1.590210e-03   1.182152e+04   3.460901e+01
 1.590830e-03   1.179817e+04   6.869367e+01
 1.591450e-03   1.181098e+04   4.258622e+01
 1.592070e-03   1.170004e+04   4.904289e+01
 1.592690e-03   1.172274e+04   2.474825e+01
 1.593310e-03   1.174241e+04   4.948032e+01
 1.593930e-03   1.169345e+04   5.185269e+01
 1.594550e-03   1.175778e+04   3.955821e+01
 1.595170e-03   1.169253e+04   4.705306e+01
 1.595790e-03   1.168225e+04   3.500770e+01
 1.596410e-03   1.159868e+04   3.446215e+01
 1.597030e-03   1.168728e+04   3.067016e+01
 1.597650e-03   1.167049e+04   3.250287e+01
 1.598270e-03   1.159925e+04   3.393051e+01
 1.598890e-03   1.165181e+04   3.555060e+01
 1.599510e-03   1.154224e+04   4.321015e+01
 1.600130e-03   1.164555e+04   4.375083e+01
 1.600750e-03   1.154726e+04   5.796260e+01
 1.601370e-03   1.155042e+04   2.699650e+01
 1.601990e-03   1.150034e+04   4.334685e+01
 1.602610e-03   1.159146e+04   4.203750e+01
 1.603230e-03   1.144698e+04   3.002318e+01
 1.603850e-03   1.151935e+04   3.100901e+01
 1.604470e-03   1.149932e+04   4.779127e+01
 1.605090e-03   1.143077e+04   2.452255e+01
 1.605710e-03   1.149791e+04   5.071523e+01
 1.606330e-03   1.139160e+04   2.502277e+01
 1.606950e-03   1.144942e+04   3.891273e+01
 1.607570e-03   1.142159e+04   3.581316e+01
 1.608190e-03   1.136020e+04   4.457942e+01
 1.608810e-03   1.130013e+04   4.208630e+01
 1.609430e-03   1.141247e+04   3.055403e+01
 1.610050e-03   1.135147e+04   2.452357e+01
 1.610670e-03   1.132868e+04   2.355303e+01
 1.611290e-03   1.131379e+04   2.651233e+01
 1.611910e-03   1.124406e+04   3.098703e+01
 1.612530e-03   1.128748e+04   3.231240e+01
 1.613150e-03   1.131452e+04   2.406029e+01
 1.613770e-03   1.128340e+04   3.408018e+01
 1.614390e-03   1.127951e+04   3.736273e+01
 1.615010e-03   1.120919e+04   3.614337e+01
 1.615630e-03   1.127718e+04   3.554623e+01
 1.616250e-03   1.122744e+04   2.370652e+01
 1.616870e-03   1.110221e+04   7.540269e+01
 1.617490e-03   1.124426e+04   8.355296e+01
 1.618110e-03   1.108376e+04   8.417659e+01
 1.618730e-03   1.114075e+04   6.521539e+01
 1.619350e-03   1.113969e+04   6.021466e+01
 1.619970e-03   1.119996e+04   8.895545e+01
 1.620590e-03   9.015758e+03   8.010748e+02
 1.621210e-03   8.515355e+03   7.354750e+02
 1.621830e-03   8.314138e+03   6.610143e+02
 1.622450e-03   8.308205e+03   6.581155e+02
 1.623070e-03   8.604423e+03   8.042449e+02
 1.623690e-03   8.552864e+03   8.109282e+02
