Q2_GeV2,num,num_err,ana,diff,rel_diff_percent
8.550000000000000308e-03,3.453571162496939451e+03,2.388510151383746116e+00,3.453520027281793773e+03,5.113521514567764825e-02,1.480669425447788540e-03
8.649999999999999703e-03,3.373392433321433145e+03,2.653349278069157879e+00,3.372889488063619865e+03,5.029452578132804774e-01,1.491140636517035607e-02
8.749999999999999098e-03,3.296316296937040079e+03,2.081307870016822381e+00,3.295022258614989369e+03,1.294038322050710121e+00,3.927252141218125214e-02
8.850000000000000228e-03,3.217262693275339188e+03,2.119096265030635529e+00,3.219793822165760957e+03,-2.531128890421769029e+00,-7.861152080598848846e-02
8.949999999999999623e-03,3.141950813442746494e+03,3.064184185337485378e+00,3.147086590097125281e+03,-5.135776654378787498e+00,-1.631914631945442506e-01
9.049999999999999017e-03,3.079165521759054172e+03,3.205848701113992671e+00,3.076789444690500659e+03,2.376077068553513527e+00,7.722585868375946017e-02
9.150000000000000147e-03,3.009204379701691323e+03,2.480912266114875031e+00,3.008797316690704520e+03,4.070630109868034197e-01,1.352909379201790510e-02
9.249999999999999542e-03,2.943565954298099768e+03,1.882361928918383276e+00,2.943010794687171710e+03,5.551596109280581004e-01,1.886366206777943463e-02
9.349999999999998937e-03,2.876558706053349852e+03,1.664748574926523395e+00,2.879335763603988653e+03,-2.777057550638801331e+00,-9.644785390234696110e-02
9.450000000000000067e-03,2.818075570502670416e+03,2.491979270878288855e+00,2.817683069846305898e+03,3.925006563645183633e-01,1.392990789364851462e-02
9.549999999999999462e-03,2.756830851641757818e+03,1.512299133296641562e+00,2.757968210880608240e+03,-1.137359238850422116e+00,-4.123902640949105719e-02
9.649999999999998856e-03,2.702801082607551507e+03,2.789185035319847294e+00,2.700111047232682267e+03,2.690035374869239604e+00,9.962684229695778493e-02
9.749999999999999986e-03,2.641101809732732363e+03,2.701303748364888513e+00,2.644035535072277980e+03,-2.933725339545617317e+00,-1.109563506477389411e-01
9.849999999999999381e-03,2.593204494162287574e+03,2.151315462803926604e+00,2.589669477720105533e+03,3.535016442182040919e+00,1.365045413167629562e-01
9.949999999999998776e-03,2.533341735331883683e+03,1.246803778704279386e+00,2.536944294562437790e+03,-3.602559230554106762e+00,-1.420038760124002764e-01
1.004999999999999991e-02,2.486689359802013769e+03,2.255156056010862997e+00,2.485794805993887621e+03,8.945538081261474872e-01,3.598663115592442424e-02
1.014999999999999930e-02,2.433974206995521854e+03,1.726692802277041805e+00,2.436159033130449188e+03,-2.184826134927334351e+00,-8.968323107050389653e-02
1.024999999999999870e-02,2.390009706128012567e+03,1.751503856821662319e+00,2.387978011145026358e+03,2.031694982986209652e+00,8.508013781969540890e-02
