th5_x_cms bin centers    value    Error 
-2.760000e-03   5.310438e-03   2.552194e-03
-2.712000e-03   4.026549e-03   1.202329e-03
-2.664000e-03   4.063828e-03   1.022590e-03
-2.616000e-03   4.320006e-03   1.756052e-03
-2.568000e-03   4.313405e-03   1.340662e-03
-2.520000e-03   4.028044e-03   1.128451e-03
-2.472000e-03   3.478003e-03   8.598719e-04
-2.424000e-03   4.413062e-03   1.589702e-03
-2.376000e-03   2.298637e-03   8.409539e-04
-2.328000e-03   3.240567e-03   1.205606e-03
-2.280000e-03   3.675582e-03   1.119836e-03
-2.232000e-03   8.312677e-03   4.693137e-03
-2.184000e-03   3.772431e-03   1.992350e-03
-2.136000e-03   1.408963e-03   4.514760e-04
-2.088000e-03   2.179173e-03   7.099176e-04
-2.040000e-03   1.679254e-03   4.895219e-04
-1.992000e-03   5.982857e-03   2.375692e-03
-1.944000e-03   2.186018e-03   8.019238e-04
-1.896000e-03   1.458863e-03   7.825964e-04
-1.848000e-03   2.724531e-03   1.204878e-03
-1.800000e-03   4.598414e-04   2.089337e-04
-1.752000e-03   6.566194e-03   3.195875e-03
-1.704000e-03   3.446691e-03   1.237256e-03
-1.656000e-03   4.035078e-03   9.075276e-04
-1.608000e-03   1.990074e-03   6.702285e-04
-1.560000e-03   2.507894e-03   1.265364e-03
-1.512000e-03   6.543170e-03   2.077982e-03
-1.464000e-03   1.045516e-03   3.605055e-04
-1.416000e-03   2.998282e-03   8.935265e-04
-1.368000e-03   4.631423e-03   1.617080e-03
-1.320000e-03   2.399575e-03   7.111293e-04
-1.272000e-03   2.998970e-03   1.148934e-03
-1.224000e-03   2.209481e-03   9.222726e-04
-1.176000e-03   8.122015e-04   4.665751e-04
-1.128000e-03   2.817474e-03   9.702098e-04
-1.080000e-03   2.513755e-03   9.035073e-04
-1.032000e-03   1.448145e-03   4.904141e-04
-9.840000e-04   2.608040e-03   9.512439e-04
-9.360000e-04   1.057317e-03   4.989097e-04
-8.880000e-04   5.244926e-03   1.914030e-03
-8.400000e-04   6.283187e-03   1.628377e-03
-7.920000e-04   2.243076e-03   6.248587e-04
-7.440000e-04   2.850261e-03   9.565571e-04
-6.960000e-04   9.919786e-04   3.194713e-04
-6.480000e-04   3.974640e-03   1.284610e-03
-6.000000e-04   3.914762e-03   1.362620e-03
-5.520000e-04   9.019061e-04   2.949503e-04
-5.040000e-04   1.414819e-03   5.498378e-04
-4.560000e-04   2.203011e-03   6.609907e-04
-4.080000e-04   3.651006e-03   1.156115e-03
-3.600000e-04   3.108391e-03   8.302127e-04
-3.120000e-04   3.114919e-03   1.350390e-03
-2.640000e-04   2.371563e-03   5.009576e-04
-2.160000e-04   6.421869e-03   2.400613e-03
-1.680000e-04   6.727871e-03   2.278381e-03
-1.200000e-04   1.105129e-03   3.766197e-04
-7.200000e-05   1.734473e-02   1.039724e-02
-2.400000e-05  -9.575149e+03   6.412928e+02
 2.400000e-05   5.245423e-03   2.065513e-03
 7.200000e-05   1.270547e-03   4.154693e-04
 1.200000e-04   6.549769e-03   3.791718e-03
 1.680000e-04   1.459848e-03   4.536245e-04
 2.160000e-04   1.945878e-03   8.518386e-04
 2.640000e-04   7.509960e-04   3.936242e-04
 3.120000e-04   3.055658e-03   7.688788e-04
 3.600000e-04   1.774942e-03   8.289463e-04
 4.080000e-04   7.024388e-03   3.463975e-03
 4.560000e-04   1.593935e-03   5.260924e-04
 5.040000e-04   4.206183e-03   1.357730e-03
 5.520000e-04   1.416009e-03   4.132101e-04
 6.000000e-04   4.320113e-03   1.026981e-03
 6.480000e-04   1.934882e-03   4.122092e-04
 6.960000e-04   2.941046e-03   1.009376e-03
 7.440000e-04   2.612282e-03   6.826710e-04
 7.920000e-04   6.687876e-04   2.302860e-04
 8.400000e-04   1.982006e-03   5.737013e-04
 8.880000e-04   2.213766e-03   8.778830e-04
 9.360000e-04   1.490286e-03   3.950666e-04
 9.840000e-04   3.712171e-03   1.110773e-03
 1.032000e-03   7.481079e-03   4.977049e-03
 1.080000e-03   8.220834e-03   2.595959e-03
 1.128000e-03   2.833072e-03   6.848133e-04
 1.176000e-03   9.994336e-03   7.402135e-03
 1.224000e-03   4.057395e-03   1.037509e-03
 1.272000e-03   3.452784e-03   1.644171e-03
 1.320000e-03   3.356537e-03   1.236261e-03
 1.368000e-03   1.910915e-03   6.605102e-04
 1.416000e-03   1.009041e-03   2.369417e-04
 1.464000e-03   2.971545e-03   7.768477e-04
 1.512000e-03   2.335561e-03   7.504039e-04
 1.560000e-03   4.085611e-03   1.320601e-03
 1.608000e-03   1.904436e-03   5.915002e-04
 1.656000e-03   3.742614e-03   1.055778e-03
 1.704000e-03   5.729544e-03   2.007584e-03
 1.752000e-03   2.036406e-03   9.701826e-04
 1.800000e-03   5.481375e-03   2.494913e-03
 1.848000e-03   2.173361e-03   7.921535e-04
 1.896000e-03   2.516032e-03   7.458552e-04
 1.944000e-03   7.087316e-03   3.467113e-03
 1.992000e-03   1.191391e-03   4.634216e-04
 2.040000e-03   4.056110e-03   1.279397e-03
 2.088000e-03   3.201788e-03   8.453677e-04
 2.136000e-03   3.661897e-03   9.124154e-04
 2.184000e-03   2.422269e-03   8.700616e-04
 2.232000e-03   7.458109e-04   2.306359e-04
 2.280000e-03   2.500886e-03   7.375504e-04
 2.328000e-03   5.982922e-03   2.216781e-03
 2.376000e-03   2.252950e-03   6.475984e-04
 2.424000e-03   4.616833e-03   1.739747e-03
 2.472000e-03   3.012657e-03   1.089138e-03
 2.520000e-03   3.866754e-03   1.086410e-03
 2.568000e-03   1.518499e-03   6.329328e-04
 2.616000e-03   1.745333e-03   4.374602e-04
 2.664000e-03   2.198201e-03   7.423162e-04
 2.712000e-03   3.696635e-03   1.269080e-03
 2.760000e-03   3.292516e-03   1.171235e-03
 2.808000e-03   3.281631e-03   9.477453e-04
 2.856000e-03   2.439741e-03   7.529892e-04
 2.904000e-03   3.431510e-03   1.876730e-03
 2.952000e-03   3.010977e-03   1.229014e-03
 3.000000e-03   4.510222e-03   1.840967e-03
 3.048000e-03   4.957722e-03   1.514292e-03
 3.096000e-03   3.069818e-03   1.066199e-03
 3.144000e-03   1.093840e-03   4.690370e-04
 3.192000e-03   2.403045e-03   9.824521e-04
 3.240000e-03   2.214683e-03   9.791572e-04
 3.288000e-03   4.810232e-03   1.672210e-03
 3.336000e-03   2.458376e-03   1.475730e-03
 3.384000e-03   2.701531e-03   7.574218e-04
 3.432000e-03   1.346190e-03   4.390526e-04
 3.480000e-03   4.144821e-03   1.028176e-03
 3.528000e-03   5.285850e-03   1.718164e-03
 3.576000e-03   6.359038e-04   3.144074e-04
 3.624000e-03   3.387170e-03   1.552969e-03
 3.672000e-03   3.056192e-03   9.605060e-04
 3.720000e-03   2.713285e-03   6.211101e-04
 3.768000e-03   5.637713e-03   1.547672e-03
 3.816000e-03   1.241683e-03   4.278364e-04
 3.864000e-03   1.678720e-03   6.072038e-04
 3.912000e-03   7.124367e-04   3.346392e-04
 3.960000e-03   5.303536e-03   2.755280e-03
 4.008000e-03   1.947402e-03   9.309375e-04
 4.056000e-03   1.248735e-03   2.399941e-04
 4.104000e-03   7.586148e-04   3.172210e-04
 4.152000e-03   3.434497e-03   1.352483e-03
 4.200000e-03   2.396089e-03   9.933157e-04
 4.248000e-03   6.961794e-04   3.461886e-04
 4.296000e-03   3.234002e-03   1.050422e-03
 4.344000e-03   7.272820e-03   2.688631e-03
 4.392000e-03   7.954509e-03   3.058498e-03
 4.440000e-03   2.642175e-03   7.519138e-04
 4.488000e-03   1.633015e-03   7.507464e-04
 4.536000e-03   1.561441e-03   6.362220e-04
 4.584000e-03   6.889816e-03   2.093845e-03
 4.632000e-03   5.899886e-03   2.284429e-03
 4.680000e-03   5.992982e-03   2.510668e-03
