Eph_cms bin centers    value    Error 
 2.066780e+04   0.000000e+00   0.000000e+00
 2.076740e+04   4.344661e-14   4.344651e-14
 2.086700e+04   1.112614e-09   1.095888e-09
 2.096660e+04   1.286075e-08   9.151602e-09
 2.106620e+04   1.305174e-08   9.468525e-09
 2.116580e+04   0.000000e+00   0.000000e+00
 2.126540e+04   8.866062e-08   6.307431e-08
 2.136500e+04   4.750710e-10   4.715474e-10
 2.146460e+04   4.260932e-08   3.064938e-08
 2.156420e+04   1.516281e-08   1.410474e-08
 2.166380e+04   1.632544e-08   1.188941e-08
 2.176340e+04   1.569979e-09   1.524104e-09
 2.186300e+04   0.000000e+00   0.000000e+00
 2.196260e+04   8.938595e-10   8.275165e-10
 2.206220e+04   4.353918e-08   3.211189e-08
 2.216180e+04   1.823129e-08   1.539243e-08
 2.226140e+04   0.000000e+00   0.000000e+00
 2.236100e+04   0.000000e+00   0.000000e+00
 2.246060e+04   1.595208e-08   1.078869e-08
 2.256020e+04   3.943146e-08   3.324392e-08
 2.265980e+04   3.251791e-08   2.498437e-08
 2.275940e+04   1.503434e-08   1.195773e-08
 2.285900e+04   1.944949e-08   1.341428e-08
 2.295860e+04   1.401871e-08   1.158261e-08
 2.305820e+04   5.949327e-10   5.774142e-10
 2.315780e+04   3.437760e-08   2.809737e-08
 2.325740e+04   2.588529e-08   2.131631e-08
 2.335700e+04   1.760692e-08   1.264821e-08
 2.345660e+04   0.000000e+00   0.000000e+00
 2.355620e+04   4.421927e-08   3.162850e-08
 2.365580e+04   1.774350e-08   1.256520e-08
 2.375540e+04   8.467675e-09   7.080176e-09
 2.385500e+04   1.410876e-08   1.200426e-08
 2.395460e+04   1.021595e-07   7.971400e-08
 2.405420e+04   4.626479e-09   3.728912e-09
 2.415380e+04   9.537647e-09   8.718303e-09
 2.425340e+04   1.845483e-08   1.485653e-08
 2.435300e+04   1.506654e-08   8.661692e-09
 2.445260e+04   6.644299e-11   6.640898e-11
 2.455220e+04   4.607926e-09   3.780258e-09
 2.465180e+04   2.085622e-08   1.541356e-08
 2.475140e+04   0.000000e+00   0.000000e+00
 2.485100e+04   6.687705e-08   4.753521e-08
 2.495060e+04   5.888960e-08   4.533811e-08
 2.505020e+04   1.860443e-08   1.407788e-08
 2.514980e+04   3.075111e-09   2.742849e-09
 2.524940e+04   0.000000e+00   0.000000e+00
 2.534900e+04   7.654531e-09   6.530431e-09
 2.544860e+04   1.033919e-09   9.916803e-10
 2.554820e+04   0.000000e+00   0.000000e+00
 2.564780e+04   4.684356e-08   2.900336e-08
 2.574740e+04   1.026160e-08   9.114659e-09
 2.584700e+04   0.000000e+00   0.000000e+00
 2.594660e+04   4.946835e-08   3.486425e-08
 2.604620e+04   3.937455e-10   3.877542e-10
 2.614580e+04   0.000000e+00   0.000000e+00
 2.624540e+04   5.847430e-08   4.578552e-08
 2.634500e+04   4.037384e-08   3.030930e-08
 2.644460e+04   4.203125e-08   3.147576e-08
 2.654420e+04   3.961088e-08   2.226447e-08
 2.664380e+04   2.885616e-09   2.684667e-09
 2.674340e+04   4.905081e-08   4.213546e-08
