phi5_x_lab bin centers    value    Error 
-7.848000e-03   5.802584e-04   1.964375e-04
-7.800000e-03   2.372572e-03   5.065196e-04
-7.752000e-03   1.316958e-03   4.867274e-04
-7.704000e-03   1.072976e-03   3.556037e-04
-7.656000e-03   2.282684e-03   8.716488e-04
-7.608000e-03   2.099835e-03   8.373455e-04
-7.560000e-03   2.885842e-03   6.976811e-04
-7.512000e-03   2.133283e-03   6.610398e-04
-7.464000e-03   2.102101e-03   7.574941e-04
-7.416000e-03   4.775013e-03   1.130710e-03
-7.368000e-03   9.842737e-04   3.755874e-04
-7.320000e-03   5.984757e-04   2.356007e-04
-7.272000e-03   1.801140e-03   5.828233e-04
-7.224000e-03   1.713967e-03   4.713862e-04
-7.176000e-03   1.004303e-03   3.355683e-04
-7.128000e-03   3.592082e-03   1.396596e-03
-7.080000e-03   2.145814e-03   6.107749e-04
-7.032000e-03   9.905969e-04   2.690589e-04
-6.984000e-03   2.661391e-03   6.697169e-04
-6.936000e-03   2.246018e-03   5.651732e-04
-6.888000e-03   1.286091e-03   4.659178e-04
-6.840000e-03   1.528174e-03   4.769599e-04
-6.792000e-03   8.861502e-04   4.380426e-04
-6.744000e-03   4.566769e-03   1.695770e-03
-6.696000e-03   2.981717e-03   8.381411e-04
-6.648000e-03   1.820939e-03   8.500487e-04
-6.600000e-03   4.040972e-03   8.575829e-04
-6.552000e-03   1.003762e-03   2.774671e-04
-6.504000e-03   2.322640e-03   8.762809e-04
-6.456000e-03   5.733733e-04   2.458472e-04
-6.408000e-03   2.156150e-03   5.058926e-04
-6.360000e-03   1.576483e-03   6.772769e-04
-6.312000e-03   4.305374e-03   1.294150e-03
-6.264000e-03   2.466580e-03   8.549067e-04
-6.216000e-03   2.613576e-03   7.710038e-04
-6.168000e-03   1.495085e-03   4.679301e-04
-6.120000e-03   1.872550e-04   1.093995e-04
-6.072000e-03   8.346647e-05   6.340342e-05
-6.024000e-03   3.048673e-03   8.380264e-04
-5.976000e-03   3.202874e-03   9.164555e-04
-5.928000e-03   1.460054e-03   4.018336e-04
-5.880000e-03   9.950631e-04   3.407313e-04
