Emu bin centers    value    Error 
 9.773000e+04   4.304375e-06   1.216605e-07
 9.774200e+04   4.249878e-06   1.377016e-07
 9.775400e+04   4.396105e-06   1.416756e-07
 9.776600e+04   3.947310e-06   1.236392e-07
 9.777800e+04   4.386082e-06   1.514113e-07
 9.779000e+04   4.320092e-06   1.063923e-07
 9.780200e+04   4.323981e-06   1.172604e-07
 9.781400e+04   4.315774e-06   1.623487e-07
 9.782600e+04   4.099889e-06   1.057809e-07
 9.783800e+04   4.411613e-06   1.098390e-07
 9.785000e+04   4.399840e-06   1.316159e-07
 9.786200e+04   4.461182e-06   1.304086e-07
 9.787400e+04   4.240480e-06   1.121598e-07
 9.788600e+04   4.761651e-06   1.143946e-07
 9.789800e+04   4.638644e-06   1.331135e-07
 9.791000e+04   4.589433e-06   1.548692e-07
 9.792200e+04   4.315655e-06   1.307754e-07
 9.793400e+04   4.739829e-06   1.040912e-07
 9.794600e+04   4.498918e-06   1.585443e-07
 9.795800e+04   4.968500e-06   1.358446e-07
 9.797000e+04   4.461942e-06   1.336306e-07
 9.798200e+04   4.708168e-06   1.673629e-07
 9.799400e+04   4.638470e-06   1.211066e-07
 9.800600e+04   4.634823e-06   1.133768e-07
 9.801800e+04   4.953775e-06   2.167866e-07
 9.803000e+04   4.999113e-06   1.504255e-07
 9.804200e+04   4.858542e-06   1.222241e-07
 9.805400e+04   5.053180e-06   1.125362e-07
 9.806600e+04   4.963738e-06   1.120212e-07
 9.807800e+04   5.464494e-06   2.211651e-07
 9.809000e+04   5.077088e-06   1.162232e-07
 9.810200e+04   5.141208e-06   1.122761e-07
 9.811400e+04   5.389549e-06   1.267579e-07
 9.812600e+04   5.104322e-06   1.323560e-07
 9.813800e+04   5.242737e-06   1.822311e-07
 9.815000e+04   5.433892e-06   1.608222e-07
 9.816200e+04   5.216411e-06   1.497538e-07
 9.817400e+04   5.260596e-06   1.304828e-07
 9.818600e+04   5.503919e-06   1.130512e-07
 9.819800e+04   5.236011e-06   1.581577e-07
 9.821000e+04   5.259658e-06   1.505351e-07
 9.822200e+04   5.500145e-06   1.393427e-07
 9.823400e+04   5.598303e-06   1.916370e-07
 9.824600e+04   5.490010e-06   1.550177e-07
 9.825800e+04   5.562172e-06   1.696190e-07
 9.827000e+04   5.473103e-06   1.625110e-07
 9.828200e+04   5.450671e-06   1.184212e-07
 9.829400e+04   5.796824e-06   1.459766e-07
 9.830600e+04   5.804082e-06   2.139509e-07
 9.831800e+04   5.463645e-06   1.401040e-07
 9.833000e+04   5.990299e-06   1.878629e-07
 9.834200e+04   5.711310e-06   1.142250e-07
 9.835400e+04   5.710026e-06   1.672727e-07
 9.836600e+04   5.739804e-06   2.063931e-07
 9.837800e+04   5.750626e-06   1.755487e-07
 9.839000e+04   5.962506e-06   1.346506e-07
 9.840200e+04   6.029442e-06   1.838681e-07
 9.841400e+04   6.366645e-06   2.145226e-07
 9.842600e+04   6.094004e-06   2.298387e-07
 9.843800e+04   6.343403e-06   1.621727e-07
 9.845000e+04   6.339975e-06   1.783950e-07
 9.846200e+04   5.971735e-06   2.031795e-07
 9.847400e+04   6.447958e-06   2.124418e-07
 9.848600e+04   6.266030e-06   1.632831e-07
 9.849800e+04   6.252911e-06   1.974523e-07
 9.851000e+04   6.429882e-06   1.307362e-07
 9.852200e+04   6.530472e-06   2.003163e-07
 9.853400e+04   6.475373e-06   2.281726e-07
 9.854600e+04   6.551050e-06   2.607919e-07
 9.855800e+04   6.793719e-06   1.898144e-07
 9.857000e+04   6.817650e-06   2.049745e-07
 9.858200e+04   7.192112e-06   1.982436e-07
 9.859400e+04   7.410791e-06   2.119010e-07
 9.860600e+04   6.865734e-06   1.993650e-07
 9.861800e+04   6.882214e-06   1.533769e-07
 9.863000e+04   7.116453e-06   1.464860e-07
 9.864200e+04   6.544466e-06   1.805084e-07
 9.865400e+04   7.236423e-06   1.834981e-07
 9.866600e+04   7.694582e-06   2.147211e-07
 9.867800e+04   7.198720e-06   1.846774e-07
 9.869000e+04   7.668305e-06   2.630054e-07
 9.870200e+04   7.012784e-06   1.511003e-07
 9.871400e+04   7.576505e-06   2.576685e-07
 9.872600e+04   7.605016e-06   1.865278e-07
 9.873800e+04   7.406988e-06   2.139096e-07
 9.875000e+04   7.451221e-06   2.059613e-07
 9.876200e+04   7.759080e-06   2.090688e-07
 9.877400e+04   7.717511e-06   2.008789e-07
 9.878600e+04   7.865398e-06   1.989506e-07
 9.879800e+04   8.163886e-06   2.569406e-07
 9.881000e+04   8.064925e-06   1.967920e-07
 9.882200e+04   7.899315e-06   3.001078e-07
