y5lab bin centers    value    Error 
-1.130000e-01   0.000000e+00   0.000000e+00
-1.110000e-01   0.000000e+00   0.000000e+00
-1.090000e-01   8.285870e-08   7.841387e-08
-1.070000e-01   1.782327e-08   1.336370e-08
-1.050000e-01   2.588011e-06   1.581051e-06
-1.030000e-01   1.299198e-06   9.987055e-07
-1.010000e-01   5.095661e-08   5.055315e-08
-9.900000e-02   6.702406e-08   6.689264e-08
-9.700000e-02   2.689700e-06   2.159259e-06
-9.500000e-02   8.476880e-06   7.509115e-06
-9.300000e-02   1.575488e-05   1.049255e-05
-9.100000e-02   1.242877e-09   1.222188e-09
-8.900000e-02   2.422757e-05   2.099646e-05
-8.700000e-02   1.900255e-10   1.900223e-10
-8.500000e-02   3.827003e-05   2.680798e-05
-8.300000e-02   1.055095e-09   1.054939e-09
-8.100000e-02   9.649859e-06   8.541104e-06
-7.900000e-02   0.000000e+00   0.000000e+00
-7.700000e-02   6.777976e-12   6.770684e-12
-7.500000e-02   4.977356e-17   4.977356e-17
-7.300000e-02   1.999568e-04   1.457823e-04
-7.100000e-02   3.716817e-12   3.716816e-12
-6.900000e-02   1.409960e-09   1.409956e-09
-6.700000e-02   6.644865e-05   6.199515e-05
-6.500000e-02   8.528988e-05   7.976119e-05
-6.300000e-02   0.000000e+00   0.000000e+00
-6.100000e-02   0.000000e+00   0.000000e+00
-5.900000e-02   2.331379e-04   1.566600e-04
-5.700000e-02   1.640736e-05   1.616268e-05
-5.500000e-02   0.000000e+00   0.000000e+00
-5.300000e-02   0.000000e+00   0.000000e+00
-5.100000e-02   3.942232e-05   3.778496e-05
-4.900000e-02   0.000000e+00   0.000000e+00
-4.700000e-02   2.618446e-04   2.226030e-04
-4.500000e-02   1.118854e-03   9.460563e-04
-4.300000e-02   2.432350e-03   1.565574e-03
-4.100000e-02   1.539733e-03   1.104569e-03
-3.900000e-02   3.972597e-03   2.757145e-03
-3.700000e-02   5.310301e-03   3.617308e-03
-3.500000e-02   5.746452e-03   3.244008e-03
-3.300000e-02   1.165265e-02   5.561298e-03
-3.100000e-02   1.316999e-02   6.836390e-03
-2.900000e-02   1.258079e-02   5.917868e-03
-2.700000e-02   1.460831e-02   7.216431e-03
-2.500000e-02   2.496151e-02   1.248049e-02
-2.300000e-02   1.792123e-02   1.157833e-02
-2.100000e-02   2.177387e-02   1.154175e-02
-1.900000e-02   2.687721e-02   1.376586e-02
-1.700000e-02   3.504082e-02   1.716584e-02
-1.500000e-02   5.578615e-02   2.474557e-02
-1.300000e-02   6.519041e-02   3.493224e-02
-1.100000e-02   5.885250e-02   2.790553e-02
-9.000000e-03   1.042240e-01   4.751274e-02
-7.000000e-03   1.219144e-01   5.356550e-02
-5.000000e-03   1.530964e-01   6.904090e-02
-3.000000e-03   1.299229e-01   6.114218e-02
-1.000000e-03  -5.346482e+01   1.384636e+01
 1.000000e-03   1.456211e-01   6.999403e-02
 3.000000e-03   6.097592e-02   3.734674e-02
 5.000000e-03   1.386876e-01   6.215299e-02
 7.000000e-03   1.146771e-01   6.484566e-02
 9.000000e-03   1.159814e-01   6.583591e-02
 1.100000e-02   1.215443e-01   1.000218e-01
 1.300000e-02   5.550030e-02   2.886010e-02
 1.500000e-02   6.247694e-02   3.793859e-02
 1.700000e-02   2.325493e-02   1.308597e-02
 1.900000e-02   2.411429e-02   1.084179e-02
 2.100000e-02   1.479225e-02   8.642648e-03
 2.300000e-02   1.497612e-02   7.958343e-03
 2.500000e-02   9.125185e-03   4.511972e-03
 2.700000e-02   1.609873e-02   8.617659e-03
 2.900000e-02   6.259094e-03   3.702872e-03
 3.100000e-02   8.820229e-03   6.574402e-03
 3.300000e-02   5.768251e-03   3.873687e-03
 3.500000e-02   2.448154e-03   1.241416e-03
 3.700000e-02   4.979340e-03   2.610154e-03
 3.900000e-02   3.440070e-03   1.875724e-03
 4.100000e-02   6.218903e-03   2.813219e-03
 4.300000e-02   2.791008e-05   2.744251e-05
 4.500000e-02   3.771452e-03   2.168172e-03
 4.700000e-02   0.000000e+00   0.000000e+00
 4.900000e-02   0.000000e+00   0.000000e+00
 5.100000e-02   5.490540e-07   5.488061e-07
 5.300000e-02   0.000000e+00   0.000000e+00
 5.500000e-02   0.000000e+00   0.000000e+00
 5.700000e-02   0.000000e+00   0.000000e+00
 5.900000e-02   0.000000e+00   0.000000e+00
 6.100000e-02   2.505439e-09   2.505412e-09
 6.300000e-02   0.000000e+00   0.000000e+00
 6.500000e-02   0.000000e+00   0.000000e+00
 6.700000e-02   1.324282e-09   1.324233e-09
 6.900000e-02   2.637333e-05   2.534766e-05
 7.100000e-02   9.957328e-04   6.016252e-04
 7.300000e-02   0.000000e+00   0.000000e+00
 7.500000e-02   2.622342e-12   2.621227e-12
 7.700000e-02   0.000000e+00   0.000000e+00
 7.900000e-02   0.000000e+00   0.000000e+00
 8.100000e-02   6.994758e-10   6.994574e-10
 8.300000e-02   5.245346e-05   3.195515e-05
 8.500000e-02   1.611766e-10   1.611568e-10
 8.700000e-02   0.000000e+00   0.000000e+00
 8.900000e-02   4.911951e-10   4.911914e-10
 9.100000e-02   0.000000e+00   0.000000e+00
 9.300000e-02   4.649361e-16   4.649360e-16
 9.500000e-02   1.702828e-08   1.700862e-08
 9.700000e-02   0.000000e+00   0.000000e+00
 9.900000e-02   0.000000e+00   0.000000e+00
 1.010000e-01   4.838321e-12   4.835549e-12
 1.030000e-01   0.000000e+00   0.000000e+00
 1.050000e-01   2.220170e-07   2.215378e-07
 1.070000e-01   0.000000e+00   0.000000e+00
 1.090000e-01   0.000000e+00   0.000000e+00
 1.110000e-01   0.000000e+00   0.000000e+00
 1.130000e-01   5.143179e-13   5.135197e-13
 1.150000e-01   0.000000e+00   0.000000e+00
 1.170000e-01   0.000000e+00   0.000000e+00
 1.190000e-01   0.000000e+00   0.000000e+00
 1.210000e-01   0.000000e+00   0.000000e+00
 1.230000e-01   0.000000e+00   0.000000e+00
 1.250000e-01   0.000000e+00   0.000000e+00
 1.270000e-01   0.000000e+00   0.000000e+00
 1.290000e-01   0.000000e+00   0.000000e+00
 1.310000e-01   0.000000e+00   0.000000e+00
 1.330000e-01   0.000000e+00   0.000000e+00
 1.350000e-01   0.000000e+00   0.000000e+00
 1.370000e-01   0.000000e+00   0.000000e+00
 1.390000e-01   0.000000e+00   0.000000e+00
 1.410000e-01   0.000000e+00   0.000000e+00
 1.430000e-01   0.000000e+00   0.000000e+00
 1.450000e-01   0.000000e+00   0.000000e+00
 1.470000e-01   0.000000e+00   0.000000e+00
 1.490000e-01   0.000000e+00   0.000000e+00
 1.510000e-01   0.000000e+00   0.000000e+00
 1.530000e-01   0.000000e+00   0.000000e+00
 1.550000e-01   0.000000e+00   0.000000e+00
 1.570000e-01   0.000000e+00   0.000000e+00
 1.590000e-01   0.000000e+00   0.000000e+00
 1.610000e-01   0.000000e+00   0.000000e+00
 1.630000e-01   0.000000e+00   0.000000e+00
 1.650000e-01   0.000000e+00   0.000000e+00
 1.670000e-01   0.000000e+00   0.000000e+00
