th3 bin centers    value    Error 
 1.328500e-03   0.000000e+00   0.000000e+00
 1.331900e-03   0.000000e+00   0.000000e+00
 1.335300e-03   0.000000e+00   0.000000e+00
 1.338700e-03   0.000000e+00   0.000000e+00
 1.342100e-03   0.000000e+00   0.000000e+00
 1.345500e-03   0.000000e+00   0.000000e+00
 1.348900e-03   3.252830e+03   3.331053e+01
 1.352300e-03   1.833640e+04   8.257085e+01
 1.355700e-03   1.819376e+04   6.122863e+01
 1.359100e-03   1.803384e+04   5.408530e+01
 1.362500e-03   1.789664e+04   5.647283e+01
 1.365900e-03   1.775053e+04   6.112620e+01
 1.369300e-03   1.755101e+04   6.063195e+01
 1.372700e-03   1.739161e+04   6.877739e+01
 1.376100e-03   1.727987e+04   4.540809e+01
 1.379500e-03   1.713618e+04   5.048789e+01
 1.382900e-03   1.700703e+04   7.114121e+01
 1.386300e-03   1.686110e+04   5.555848e+01
 1.389700e-03   1.662456e+04   5.955904e+01
 1.393100e-03   1.657070e+04   5.631066e+01
 1.396500e-03   1.647315e+04   5.688983e+01
 1.399900e-03   1.625000e+04   5.981862e+01
 1.403300e-03   1.618520e+04   4.973885e+01
 1.406700e-03   1.598038e+04   5.323440e+01
 1.410100e-03   1.590747e+04   5.071181e+01
 1.413500e-03   1.585731e+04   6.024773e+01
 1.416900e-03   1.569494e+04   5.776154e+01
 1.420300e-03   1.555626e+04   4.707063e+01
 1.423700e-03   1.541369e+04   5.860186e+01
 1.427100e-03   1.530687e+04   6.564616e+01
 1.430500e-03   1.523635e+04   5.049232e+01
 1.433900e-03   1.506738e+04   6.007920e+01
 1.437300e-03   1.497702e+04   5.650613e+01
 1.440700e-03   1.484054e+04   6.488169e+01
 1.444100e-03   1.465683e+04   6.307633e+01
 1.447500e-03   1.456758e+04   5.124649e+01
 1.450900e-03   1.447993e+04   6.072580e+01
 1.454300e-03   1.439701e+04   5.812195e+01
 1.457700e-03   1.427209e+04   5.988123e+01
 1.461100e-03   1.408535e+04   7.131928e+01
 1.464500e-03   1.393792e+04   6.111386e+01
 1.467900e-03   1.388738e+04   5.531960e+01
 1.471300e-03   1.388663e+04   5.759250e+01
 1.474700e-03   1.362278e+04   5.683286e+01
 1.478100e-03   1.363531e+04   5.688758e+01
 1.481500e-03   1.358053e+04   5.934167e+01
 1.484900e-03   1.334308e+04   6.476261e+01
 1.488300e-03   1.330555e+04   4.104656e+01
 1.491700e-03   1.319841e+04   5.595538e+01
 1.495100e-03   1.310353e+04   5.954624e+01
 1.498500e-03   1.289290e+04   6.597124e+01
 1.501900e-03   1.288281e+04   5.064355e+01
 1.505300e-03   1.282935e+04   4.937905e+01
 1.508700e-03   1.261438e+04   5.576133e+01
 1.512100e-03   1.261638e+04   5.324789e+01
 1.515500e-03   1.251037e+04   4.400098e+01
 1.518900e-03   1.242237e+04   5.215012e+01
 1.522300e-03   1.235987e+04   5.777694e+01
 1.525700e-03   1.224171e+04   5.961428e+01
 1.529100e-03   1.209144e+04   5.716756e+01
 1.532500e-03   1.208554e+04   5.632139e+01
 1.535900e-03   1.192024e+04   6.129430e+01
 1.539300e-03   1.181344e+04   4.655456e+01
 1.542700e-03   1.179893e+04   4.969013e+01
 1.546100e-03   1.167499e+04   4.770715e+01
 1.549500e-03   1.161066e+04   4.522707e+01
 1.552900e-03   1.151755e+04   5.817673e+01
 1.556300e-03   1.145355e+04   4.834662e+01
 1.559700e-03   1.139929e+04   4.870190e+01
 1.563100e-03   1.124042e+04   6.219929e+01
 1.566500e-03   1.113833e+04   5.955532e+01
 1.569900e-03   1.104266e+04   4.457876e+01
 1.573300e-03   1.094078e+04   7.890224e+01
 1.576700e-03   1.097523e+04   5.301511e+01
 1.580100e-03   1.096377e+04   4.849987e+01
 1.583500e-03   1.075326e+04   4.956131e+01
 1.586900e-03   1.075244e+04   5.305673e+01
 1.590300e-03   1.064962e+04   4.561606e+01
 1.593700e-03   1.065297e+04   3.627715e+01
 1.597100e-03   1.045556e+04   4.622528e+01
 1.600500e-03   1.045101e+04   4.847401e+01
 1.603900e-03   1.029879e+04   4.112149e+01
 1.607300e-03   1.029060e+04   5.741091e+01
 1.610700e-03   1.025374e+04   5.079259e+01
 1.614100e-03   1.011334e+04   5.000079e+01
 1.617500e-03   1.025300e+04   7.327449e+01
 1.620900e-03   1.016570e+04   1.043463e+02
 1.624300e-03   1.019360e+04   1.048696e+02
 1.627700e-03   1.009095e+04   1.320084e+02
 1.631100e-03   1.022665e+04   9.368182e+01
 1.634500e-03   9.309474e+03   3.335909e+02
 1.637900e-03   7.921718e+03   7.841076e+02
 1.641300e-03   7.896586e+03   7.006927e+02
 1.644700e-03   8.056592e+03   6.887804e+02
 1.648100e-03   7.250432e+03   8.113059e+02
 1.651500e-03   3.382675e+02   4.655373e+01
 1.654900e-03   0.000000e+00   0.000000e+00
 1.658300e-03   0.000000e+00   0.000000e+00
 1.661700e-03   0.000000e+00   0.000000e+00
 1.665100e-03   0.000000e+00   0.000000e+00
 1.668500e-03   0.000000e+00   0.000000e+00
 1.671900e-03   0.000000e+00   0.000000e+00
 1.675300e-03   0.000000e+00   0.000000e+00
 1.678700e-03   0.000000e+00   0.000000e+00
 1.682100e-03   0.000000e+00   0.000000e+00
 1.685500e-03   0.000000e+00   0.000000e+00
 1.688900e-03   0.000000e+00   0.000000e+00
 1.692300e-03   0.000000e+00   0.000000e+00
 1.695700e-03   0.000000e+00   0.000000e+00
 1.699100e-03   0.000000e+00   0.000000e+00
